"place_fips","stcounty_fips","county_name","state_fips","county_fips"
"0100100","01017","Chambers County","01","017"
"0100124","01067","Henry County","01","067"
"0100460","01073","Jefferson County","01","073"
"0100484","01133","Winston County","01","133"
"0100676","01065","Hale County","01","065"
"0100820","01117","Shelby County","01","117"
"0100988","01095","Marshall County","01","095"
"0101132","01123","Tallapoosa County","01","123"
"0101180","01015","Calhoun County","01","015"
"0101228","01107","Pickens County","01","107"
"0101396","01009","Blount County","01","009"
"0101660","01055","Etowah County","01","055"
"0101708","01039","Covington County","01","039"
"0101756","01077","Lauderdale County","01","077"
"0101852","01015","Calhoun County","01","015"
"0102116","01095","Marshall County","01","095"
"0102260","01083","Limestone County","01","083"
"0102320","01115","St. Clair County","01","115"
"0102428","01045","Dale County","01","045"
"0102500","01133","Winston County","01","133"
"0102836","01069","Houston County","01","069"
"0102860","01027","Clay County","01","027"
"0102908","01115","St. Clair County","01","115"
"0102956","01083","Limestone County","01","083"
"0103004","01053","Escambia County","01","053"
"0103028","01055","Etowah County","01","055"
"0103076","01081","Lee County","01","081"
"0103220","01001","Autauga County","01","001"
"0103364","01069","Houston County","01","069"
"0103508","01097","Mobile County","01","097"
"0103556","01039","Covington County","01","039"
"0103676","01043","Cullman County","01","043"
"0103724","01005","Barbour County","01","005"
"0103820","01055","Etowah County","01","055"
"0103940","01109","Pike County","01","109"
"0104660","01003","Baldwin County","01","003"
"0104684","01097","Mobile County","01","097"
"0104852","01093","Marion County","01","093"
"0104900","01099","Monroe County","01","099"
"0104948","01075","Lamar County","01","075"
"0105140","01059","Franklin County","01","059"
"0105164","01057","Fayette County","01","057"
"0105188","01119","Sumter County","01","119"
"0105212","01097","Mobile County","01","097"
"0105692","01085","Lowndes County","01","085"
"0105812","01043","Cullman County","01","043"
"0105932","01057","Fayette County","01","057"
"0105980","01073","Jefferson County","01","073"
"0106460","01001","Autauga County","01","001"
"0107000","01073","Jefferson County","01","073"
"0107120","01061","Geneva County","01","061"
"0107456","01009","Blount County","01","009"
"0107588","01051","Elmore County","01","051"
"0107672","01005","Barbour County","01","005"
"0107912","01095","Marshall County","01","095"
"0108104","01063","Greene County","01","063"
"0108248","01121","Talladega County","01","121"
"0108272","01003","Baldwin County","01","003"
"0108680","01131","Wilcox County","01","131"
"0109016","01041","Crenshaw County","01","041"
"0109064","01117","Shelby County","01","117"
"0109136","01007","Bibb County","01","007"
