"stcounty_fips","election_year","DVP","RVP","DEM","REP","total_votes"
"13011",2008,0.167073369123149,0.83292663087685,1027,5120,6147
"01027",2012,0.269487412799515,0.730512587200485,1777,4817,6594
"12063",2008,0.358659061155788,0.641340938844212,7671,13717,21388
"06055",2016,0.692439498321851,0.307560501678149,39199,17411,56610
"31035",2016,0.164539496378061,0.835460503621939,477,2422,2899
"30077",2012,0.329621380846325,0.670378619153675,888,1806,2694
"29109",2016,0.181328995119509,0.818671004880491,2898,13084,15982
"21033",2016,0.218484480665857,0.781515519334143,1260,4507,5767
"42039",2016,0.305105956949775,0.694894043050225,10971,24987,35958
"46051",2012,0.423305925715906,0.576694074284094,1493,2034,3527
"29185",2016,0.210953346855984,0.789046653144016,936,3501,4437
"30085",2020,0.488991295442908,0.511008704557092,1910,1996,3906
"37063",2008,0.761775729149025,0.238224270850975,103456,32353,135809
"32021",2008,0.48892905558066,0.51107094441934,1082,1131,2213
"08113",2016,0.742265469061876,0.257734530938124,2975,1033,4008
"37163",2020,0.386439722310322,0.613560277689678,10966,17411,28377
"39121",2008,0.417623227548953,0.582376772451047,2474,3450,5924
"42037",2016,0.328402024025648,0.671597975974352,8502,17387,25889
"33007",2020,0.469951405548379,0.530048594451621,7640,8617,16257
"25025",2016,0.828184333949062,0.171815666050938,241212,50042,291254
"17105",2020,0.274326814480176,0.725673185519824,4615,12208,16823
"13037",2020,0.577767612076853,0.422232387923147,1263,923,2186
"37097",2016,0.311166465378422,0.688833534621578,24734,54754,79488
"20205",2012,0.224540214109251,0.775459785890749,818,2825,3643
"41017",2008,0.498427127871294,0.501572872128706,38819,39064,77883
"27045",2020,0.383985825177185,0.616014174822815,4551,7301,11852
"17017",2020,0.308206106870229,0.691793893129771,1615,3625,5240
"01049",2008,0.239593478721152,0.760406521278848,5658,17957,23615
"48077",2012,0.147822612864563,0.852177387135437,740,4266,5006
"40041",2016,0.218735548655612,0.781264451344388,3311,11826,15137
"40097",2020,0.219289650949173,0.780710349050827,3581,12749,16330
"40059",2020,0.0929596719070403,0.90704032809296,136,1327,1463
"39115",2020,0.254951226721845,0.745048773278155,1725,5041,6766
"51810",2020,0.527656418554477,0.472343581445523,117393,105087,222480
"19003",2008,0.516635859519408,0.483364140480592,1118,1046,2164
"51131",2020,0.553760193295077,0.446239806704923,3667,2955,6622
"19135",2008,0.473407056345445,0.526592943654555,1798,2000,3798
"22053",2012,0.25811231293525,0.74188768706475,3484,10014,13498
"42127",2008,0.437815349207754,0.562184650792246,9892,12702,22594
"19097",2012,0.585779452598175,0.414220547401825,5907,4177,10084
"30077",2008,0.37758875739645,0.62241124260355,1021,1683,2704
"46071",2012,0.391904323827047,0.608095676172953,426,661,1087
"31145",2020,0.151986506746627,0.848013493253373,811,4525,5336
"53001",2020,0.317077434015032,0.682922565984968,1814,3907,5721
"18079",2020,0.210022475651378,0.789977524348622,2523,9490,12013
"21127",2008,0.367575374616357,0.632424625383643,2036,3503,5539
"39049",2012,0.615916567384462,0.384083432615538,346373,215997,562370
"40153",2008,0.174103688418881,0.825896311581119,1350,6404,7754
"42075",2008,0.404518950437318,0.595481049562682,23310,34314,57624
"48351",2020,0.193724194880264,0.806275805119736,1173,4882,6055
