"transcript_year","state_name","state_fips","county_name","county_fips","stcounty_fips","ccBinary","gwBinary","ccgwBinary","meeting_date","n_ccMentions","n_gwMentions","n_ccgwMentions","n_transcripts","n_meetingTypes","n_scriptCC","n_scriptGW","n_scriptCCGW","prop_ccMentions","prop_gwMentions","prop_ccgwMentions","prop_scriptCC","prop_scriptGW","prop_scriptCCGW","census_division","census_region","n_countiesInState"
"2017","Maine","23","York County","031","23031",0,0,0,2017-05-01,0,0,0,9,2,0,0,0,0,0,0,0,0,0,"1","1",16
"2021","New Jersey","34","Union County","039","34039",1,0,1,2021-12-21,1,0,1,32,1,1,0,1,0.03125,0,0.03125,0.03125,0,0.03125,"2","1",21
"2016","North Carolina","37","Alamance County","001","37001",0,1,1,2016-11-15,0,1,1,14,1,0,1,1,0,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,"5","3",100
"2022","Pennsylvania","42","Crawford County","039","42039",0,0,0,2022-09-20,0,0,0,4,1,0,0,0,0,0,0,0,0,0,"2","1",67
"2015","Tennessee","47","Blount County","009","47009",0,0,0,2015-12-10,0,0,0,48,3,0,0,0,0,0,0,0,0,0,"6","3",95
"2014","Nebraska","31","Morrill County","123","31123",0,0,0,2014-11-12,0,0,0,5,2,0,0,0,0,0,0,0,0,0,"4","2",93
"2016","Pennsylvania","42","Erie County","049","42049",0,0,0,2016-11-15,0,0,0,21,2,0,0,0,0,0,0,0,0,0,"2","1",67
"2019","Michigan","26","Oakland County","125","26125",0,0,0,2019-02-01,0,0,0,59,1,0,0,0,0,0,0,0,0,0,"3","2",83
"2022","New Jersey","34","Morris County","027","34027",0,0,0,2022-09-22,0,0,0,12,1,0,0,0,0,0,0,0,0,0,"2","1",21
"2021","Illinois","17","Clinton County","027","17027",1,0,1,2021-12-20,5,0,5,43,2,3,0,3,0.116279069767442,0,0.116279069767442,0.0697674418604651,0,0.0697674418604651,"3","2",102
"2013","Texas","48","San Patricio County","409","48409",0,0,0,2013-12-16,0,0,0,6,2,0,0,0,0,0,0,0,0,0,"7","3",254
"2013","Virginia","51","Montgomery County","121","51121",0,0,0,2013-12-03,0,0,0,32,2,0,0,0,0,0,0,0,0,0,"5","3",133
"2022","Virginia","51","Hopewell city","670","51670",0,0,0,2022-01-13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"5","3",133
"2016","Ohio","39","Jefferson County","081","39081",0,0,0,2016-09-20,0,0,0,23,1,0,0,0,0,0,0,0,0,0,"3","2",88
"2015","Tennessee","47","Putnam County","141","47141",0,0,0,2015-07-09,0,0,0,3,1,0,0,0,0,0,0,0,0,0,"6","3",95
"2014","Massachusetts","25","Suffolk County","025","25025",0,0,0,2014-09-22,0,0,0,3,1,0,0,0,0,0,0,0,0,0,"1","1",14
"2012","Illinois","17","DuPage County","043","17043",1,1,1,2012-12-03,1,1,2,23,3,1,1,2,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0869565217391304,"3","2",102
"2019","New Hampshire","33","Sullivan County","019","33019",0,0,0,2019-07-27,0,0,0,3,2,0,0,0,0,0,0,0,0,0,"1","1",10
"2018","Illinois","17","Clinton County","027","17027",0,0,0,2018-01-02,0,0,0,29,2,0,0,0,0,0,0,0,0,0,"3","2",102
"2017","South Dakota","46","Minnehaha County","099","46099",1,1,1,2017-10-19,2,1,3,924,7,2,1,3,0.00216450216450216,0.00108225108225108,0.00324675324675325,0.00216450216450216,0.00108225108225108,0.00324675324675325,"4","2",66
"2022","Alabama","01","Clarke County","025","01025",0,0,0,2022-08-09,0,0,0,2,1,0,0,0,0,0,0,0,0,0,"6","3",67
"2019","North Carolina","37","Durham County","063","37063",1,0,1,2019-12-02,9,0,9,13,2,6,0,6,0.692307692307692,0,0.692307692307692,0.461538461538462,0,0.461538461538462,"5","3",100
"2023","Colorado","08","Eagle County","037","08037",0,0,0,2023-09-12,0,0,0,11,1,0,0,0,0,0,0,0,0,0,"8","4",64
"2019","Texas","48","Dallas County","113","48113",1,1,1,2019-12-19,12,1,13,26,4,1,1,2,0.461538461538462,0.0384615384615385,0.5,0.0384615384615385,0.0384615384615385,0.0769230769230769,"7","3",254
"2020","Ohio","39","Cuyahoga County","035","39035",0,1,1,2020-12-14,0,1,1,101,5,0,1,1,0,0.0099009900990099,0.0099009900990099,0,0.0099009900990099,0.0099009900990099,"3","2",88
"2010","Alabama","01","Etowah County","055","01055",0,0,0,2010-05-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"6","3",67
"2015","Ohio","39","Summit County","153","39153",0,0,0,2015-12-01,0,0,0,17,4,0,0,0,0,0,0,0,0,0,"3","2",88
"2020","Iowa","19","Buchanan County","019","19019",1,0,1,2020-12-28,2,0,2,27,2,2,0,2,0.0740740740740741,0,0.0740740740740741,0.0740740740740741,0,0.0740740740740741,"4","2",99
"2022","Oregon","41","Linn County","043","41043",1,0,1,2022-09-14,1,0,1,36,2,1,0,1,0.0277777777777778,0,0.0277777777777778,0.0277777777777778,0,0.0277777777777778,"9","4",36
"2022","Florida","12","Brevard County","009","12009",1,1,1,2022-09-27,4,2,6,38,3,3,2,5,0.105263157894737,0.0526315789473684,0.157894736842105,0.0789473684210526,0.0526315789473684,0.131578947368421,"5","3",67
"2016","New York","36","Westchester County","119","36119",0,0,0,2016-12-13,0,0,0,25,4,0,0,0,0,0,0,0,0,0,"2","1",62
"2015","New Jersey","34","Middlesex County","023","34023",0,1,1,2015-01-08,0,1,1,1,1,0,1,1,0,1,1,0,1,1,"2","1",21
"2022","South Dakota","46","Davison County","035","46035",0,1,1,2022-09-20,0,1,1,33,5,0,1,1,0,0.0303030303030303,0.0303030303030303,0,0.0303030303030303,0.0303030303030303,"4","2",66
"2019","North Carolina","37","Rutherford County","161","37161",0,0,0,2019-10-08,0,0,0,20,1,0,0,0,0,0,0,0,0,0,"5","3",100
"2019","South Carolina","45","York County","091","45091",0,0,0,2019-12-02,0,0,0,15,2,0,0,0,0,0,0,0,0,0,"5","3",46
"2015","Missouri","29","St. Charles County","183","29183",0,0,0,2015-07-15,0,0,0,12,3,0,0,0,0,0,0,0,0,0,"4","2",115
"2020","South Carolina","45","Anderson County","007","45007",1,0,1,2020-12-14,1,0,1,20,2,1,0,1,0.05,0,0.05,0.05,0,0.05,"5","3",46
"2020","Idaho","16","Kootenai County","055","16055",1,0,1,2020-12-15,1,0,1,149,7,1,0,1,0.00671140939597315,0,0.00671140939597315,0.00671140939597315,0,0.00671140939597315,"8","4",44
"2022","Virginia","51","Waynesboro city","820","51820",0,0,0,2022-12-12,0,0,0,2,1,0,0,0,0,0,0,0,0,0,"5","3",133
"2023","Texas","48","Grayson County","181","48181",0,0,0,2023-07-18,0,0,0,5,2,0,0,0,0,0,0,0,0,0,"7","3",254
"2015","California","06","Riverside County","065","06065",0,0,0,2015-03-18,0,0,0,21,1,0,0,0,0,0,0,0,0,0,"9","4",58
"2013","Oregon","41","Linn County","043","41043",0,0,0,2013-12-04,0,0,0,10,1,0,0,0,0,0,0,0,0,0,"9","4",36
"2020","Texas","48","Jefferson County","245","48245",0,0,0,2020-12-07,0,0,0,42,1,0,0,0,0,0,0,0,0,0,"7","3",254
