"state_name","n"
"Alabama",3594
"Arizona",1282
"Arkansas",633
"California",13434
"Colorado",1287
"Connecticut",333
"Florida",593
"Georgia",798
"Idaho",826
"Illinois",5161
"Indiana",429
"Iowa",1015
"Kansas",281
"Kentucky",245
"Louisiana",7
"Maine",649
"Maryland",101
"Massachusetts",4154
"Michigan",4975
"Minnesota",4501
"Mississippi",881
"Missouri",3477
"Montana",261
"Nebraska",1442
"Nevada",304
"New Hampshire",1228
"New Jersey",4227
"New Mexico",624
"New York",2485
"North Carolina",5362
"North Dakota",5
"Ohio",5545
"Oklahoma",2545
"Oregon",3985
"Pennsylvania",1520
"Rhode Island",320
"South Carolina",1046
"South Dakota",5550
"Tennessee",3196
"Texas",4309
"Utah",2064
"Vermont",854
"Virginia",1831
"Washington",2817
"West Virginia",162
"Wisconsin",2689
"Wyoming",323
