"transcript_year","state_name","place_name","n"
"2010","Alabama","Gadsden city",1
"2010","Alabama","Hamilton city",1
"2010","Alabama","Leeds city",3
"2010","Arkansas","Fayetteville city",3
"2010","California","Alameda city",17
"2010","California","Emeryville city",1
"2010","California","Lassen County",9
"2010","California","Norco city",11
"2010","California","San Bruno city",220
"2010","California","Susanville city",3
"2010","California","West Covina city",4
"2010","California","Wildomar city",1
"2010","Colorado","Denver city",1
"2010","Florida","Collier County",5
"2010","Florida","Titusville city",2
"2010","Illinois","DeKalb city",3
"2010","Illinois","Elmhurst city",46
"2010","Illinois","Evanston city",31
"2010","Indiana","East Chicago city",4
"2010","Massachusetts","North Reading town",45
"2010","Michigan","Flint city",1
"2010","Michigan","Lake City city",1
"2010","Minnesota","Belle Plaine city",17
"2010","Minnesota","Burnsville city",8
"2010","Minnesota","Minnesota City city",2
"2010","Minnesota","Willmar city",3
"2010","Mississippi","Biloxi city",1
"2010","Missouri","Raytown city",2
"2010","Missouri","St. Charles County",22
"2010","New Jersey","Dumont borough",4
"2010","New Jersey","Hanover township",15
"2010","New Jersey","River Edge borough",1
"2010","New York","Goshen village",370
"2010","North Carolina","Catawba County",4
"2010","North Carolina","Catawba town",4
"2010","North Carolina","Gates County",1
"2010","North Carolina","Sparta town",6
"2010","Ohio","Amelia village",1
"2010","Oregon","Cascade Locks city",3
"2010","Oregon","Portland city",4
"2010","Pennsylvania","Darby borough",1
"2010","Pennsylvania","Madison borough",37
"2010","South Carolina","Cayce city",2
"2010","South Carolina","Spartanburg County",2
"2010","South Dakota","Sioux Falls city",1
"2010","Tennessee","Algood city",1
"2010","Tennessee","Nashville-Davidson metropolitan government (balance)",1
"2010","Texas","Kerrville city",4
"2010","Texas","Muleshoe city",2
"2010","Texas","Rose City city",29
"2010","Texas","Stephenville city",2
"2010","Texas","Venus town",1
"2010","Virginia","Poquoson city",1
"2011","Alabama","Cullman city",6
"2011","Alabama","Gadsden city",31
"2011","Alabama","Hamilton city",15
"2011","Arizona","Nogales city",4
"2011","Arizona","Tucson city",1
"2011","Arkansas","Arkansas City city",1
"2011","Arkansas","Fayetteville city",16
"2011","California","Alameda city",2
"2011","California","Emeryville city",10
"2011","California","Lassen County",3
"2011","California","Norco city",7
"2011","California","Norwalk city",3
"2011","California","San Bruno city",230
"2011","California","Susanville city",11
"2011","California","West Covina city",9
"2011","California","Westminster city",29
"2011","Colorado","Denver city",1
"2011","Florida","Orlando city",16
"2011","Georgia","Milledgeville city",10
"2011","Georgia","Pickens County",1
"2011","Illinois","Elmhurst city",36
"2011","Illinois","Evanston city",28
"2011","Illinois","Naperville city",11
"2011","Indiana","East Chicago city",1
"2011","Maine","Oakland town",1
"2011","Massachusetts","North Reading town",22
"2011","Michigan","Benton Harbor city",11
"2011","Michigan","Southfield city",10
"2011","Minnesota","Kenyon city",1
"2011","Minnesota","Willmar city",13
"2011","Missouri","Buffalo city",2
"2011","Missouri","Raytown city",29
"2011","Nebraska","Douglas County",20
"2011","Nebraska","Omaha city",20
"2011","Nevada","Reno city",3
"2011","New Hampshire","Carroll County",3
"2011","New Hampshire","Litchfield town",1
"2011","New Jersey","Clementon borough",2
"2011","New Jersey","Dumont borough",2
"2011","New Jersey","Edgewater borough",20
"2011","New Jersey","Fort Lee borough",1
"2011","New Jersey","Gloucester City city",6
"2011","New Jersey","Linden city",3
"2011","New Jersey","Pine Hill borough",1
"2011","New York","Eden town",3
"2011","New York","Goshen village",68
"2011","New York","Tuckahoe village",2
"2011","North Carolina","Alexander County",1
"2011","North Carolina","Buncombe County",25
"2011","North Carolina","Burke County",1
"2011","North Carolina","Burlington city",1
"2011","North Carolina","Durham city",21
"2011","North Carolina","Morganton city",14
"2011","North Carolina","Pitt County",11
"2011","North Carolina","Pittsboro town",1
"2011","North Carolina","Smithfield town",3
"2011","Ohio","Amelia village",22
"2011","Ohio","Bowling Green city",1
"2011","Ohio","East Cleveland city",1
"2011","Ohio","New Paris village",13
"2011","Ohio","Stow city",8
"2011","Oklahoma","Freedom town",1
"2011","Oklahoma","Moore city",2
"2011","Oklahoma","Oklahoma City city",5
"2011","Oregon","Cascade Locks city",30
"2011","Oregon","Eugene city",23
"2011","Oregon","Lincoln City city",1
"2011","Oregon","Salem city",4
"2011","Pennsylvania","Darby borough",2
"2011","Pennsylvania","Elizabeth borough",7
"2011","Pennsylvania","Luzerne County",2
"2011","South Carolina","North Charleston city",5
"2011","South Carolina","Spartanburg County",4
"2011","Tennessee","Algood city",20
"2011","Tennessee","Nashville-Davidson metropolitan government (balance)",2
"2011","Texas","Floresville city",5
"2011","Texas","Granbury city",7
"2011","Texas","Kerrville city",2
"2011","Texas","Lake City town",41
"2011","Texas","Lakeside City town",9
"2011","Texas","Lubbock city",3
"2011","Texas","Muleshoe city",15
"2011","Texas","Venus town",3
"2011","Virginia","Danville city",4
"2011","Virginia","Poquoson city",40
"2011","Virginia","Shenandoah County",6
"2011","Virginia","Woodstock town",2
"2011","Washington","Auburn city",1
"2011","Washington","Gold Bar city",2
"2011","West Virginia","Morgantown city",2
"2011","Wisconsin","Platteville city",1
"2012","Alabama","Cullman city",12
