"transcript_year","state_name","meeting_type","n"
"2010","Alabama","MUNICIPAL COUNCIL",5
"2010","Arkansas","COMMITTEE",1
"2010","Arkansas","MUNICIPAL COUNCIL",1
"2010","Arkansas","OTHER BOARD",1
"2010","California","BOARD OF EDUCATION",5
"2010","California","BOARD OF SUPERVISORS",9
"2010","California","COUNTY BOARD",3
"2010","California","MUNICIPAL COUNCIL",245
"2010","California","OTHER BOARD",1
"2010","California","PARKS/REC BOARD/COMMISSION",1
"2010","California","PLANNING/ZONING BOARD/COMMISSION",2
"2010","Colorado","MUNICIPAL COUNCIL",1
"2010","Florida","BOARD OF EDUCATION",1
"2010","Florida","COUNTY BOARD",4
"2010","Florida","MUNICIPAL COUNCIL",2
"2010","Illinois","COMMITTEE",11
"2010","Illinois","MUNICIPAL COUNCIL",52
"2010","Illinois","OTHER BOARD",8
"2010","Illinois","SCHOOL BOARD",7
"2010","Illinois","UNKNOWN",2
"2010","Indiana","BOARD OF COMMISSIONERS",1
"2010","Indiana","MUNICIPAL COUNCIL",2
"2010","Indiana","OTHER BOARD",1
"2010","Massachusetts","BOARD OF SELECTMEN",34
"2010","Massachusetts","COMMITTEE",11
"2010","Michigan","MUNICIPAL COUNCIL",1
"2010","Michigan","SCHOOL BOARD",1
"2010","Minnesota","BOARD OF HEALTH",1
"2010","Minnesota","MUNICIPAL COUNCIL",26
"2010","Minnesota","SCHOOL BOARD",3
"2010","Mississippi","MUNICIPAL COUNCIL",1
"2010","Missouri","BOARD OF ALDERMEN",1
"2010","Missouri","MUNICIPAL COUNCIL",22
"2010","Missouri","TOWN BOARD",1
"2010","New Jersey","COMMITTEE",19
"2010","New Jersey","MUNICIPAL COUNCIL",1
"2010","New York","BOARD OF COMMISSIONERS",5
"2010","New York","MUNICIPAL COUNCIL",193
"2010","New York","PLANNING/ZONING BOARD/COMMISSION",10
"2010","New York","UNKNOWN",2
"2010","New York","VILLAGE BOARD",160
"2010","North Carolina","BOARD OF COMMISSIONERS",4
"2010","North Carolina","COUNTY BOARD",4
"2010","North Carolina","MUNICIPAL COUNCIL",6
"2010","North Carolina","SPECIAL COMMISSION",1
"2010","Ohio","MUNICIPAL COUNCIL",1
